Region,State,City,Category,Sub-Category,Product Name
South,Kentucky,Henderson,Furniture,Bookcases,Bush Somerset Collection Bookcase
South,Kentucky,Henderson,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back"
West,California,Los Angeles,Office Supplies,Labels,Self-Adhesive Address Labels for Typewriters by Universal
South,Florida,Fort Lauderdale,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table
South,Florida,Fort Lauderdale,Office Supplies,Storage,Eldon Fold 'N Roll Cart System
West,California,Los Angeles,Furniture,Furnishings,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood"
West,California,Los Angeles,Office Supplies,Art,Newell 322
West,California,Los Angeles,Technology,Phones,Mitel 5320 IP Phone VoIP phone
West,California,Los Angeles,Office Supplies,Binders,DXL Angle-View Binders with Locking Rings by Samsill
West,California,Los Angeles,Office Supplies,Appliances,Belkin F5C206VTEL 6 Outlet Surge
West,California,Los Angeles,Furniture,Tables,Chromcraft Rectangular Conference Tables
West,California,Los Angeles,Technology,Phones,Konftel 250 Conference phone - Charcoal black
South,North Carolina,Concord,Office Supplies,Paper,Xerox 1967
West,Washington,Seattle,Office Supplies,Binders,Fellowes PB200 Plastic Comb Binding Machine
Central,Texas,Fort Worth,Office Supplies,Appliances,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter"
Central,Texas,Fort Worth,Office Supplies,Binders,Storex DuraTech Recycled Plastic Frosted Binders
Central,Wisconsin,Madison,Office Supplies,Storage,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D"
West,Utah,West Jordan,Office Supplies,Storage,Fellowes Super Stor/Drawer
West,California,San Francisco,Office Supplies,Art,Newell 341
West,California,San Francisco,Technology,Phones,Cisco SPA 501G IP Phone
West,California,San Francisco,Office Supplies,Binders,"Wilson Jones Hanging View Binder, White, 1"""
Central,Nebraska,Fremont,Office Supplies,Art,Newell 318
Central,Nebraska,Fremont,Office Supplies,Appliances,"Acco Six-Outlet Power Strip, 4' Cord Length"
East,Pennsylvania,Philadelphia,Furniture,Chairs,"Global Deluxe Stacking Chair, Gray"
West,Utah,Orem,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table
West,California,Los Angeles,Office Supplies,Binders,Wilson Jones Active Use Binders
West,California,Los Angeles,Technology,Accessories,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive
East,Pennsylvania,Philadelphia,Furniture,Bookcases,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish"
East,Pennsylvania,Philadelphia,Office Supplies,Binders,Avery Recycled Flexi-View Covers for Binding Systems
East,Pennsylvania,Philadelphia,Furniture,Furnishings,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock"
East,Pennsylvania,Philadelphia,Office Supplies,Envelopes,Poly String Tie Envelopes
East,Pennsylvania,Philadelphia,Office Supplies,Art,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain"
East,Pennsylvania,Philadelphia,Office Supplies,Binders,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red"
East,Pennsylvania,Philadelphia,Office Supplies,Art,Lumber Crayons
Central,Texas,Houston,Office Supplies,Paper,Easy-staple paper
Central,Texas,Richardson,Technology,Phones,GE 30524EE4
Central,Texas,Richardson,Furniture,Furnishings,"Electrix Architect's Clamp-On Swing Arm Lamp, Black"
Central,Texas,Houston,Office Supplies,Envelopes,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes"
Central,Texas,Houston,Furniture,Bookcases,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors"
Central,Texas,Houston,Furniture,Chairs,"Global Fabric Manager's Chair, Dark Gray"
Central,Texas,Houston,Technology,Phones,Plantronics HL10 Handset Lifter
Central,Illinois,Naperville,Technology,Phones,Panasonic Kx-TS550
West,California,Los Angeles,Office Supplies,Storage,"Eldon Base for stackable storage shelf, platinum"
South,Florida,Melbourne,Office Supplies,Storage,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers"
Central,Minnesota,Eagan,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack"
Central,Minnesota,Eagan,Office Supplies,Binders,Wilson Jones Leather-Like Binders with DublLock Round Rings
Central,Michigan,Westland,Office Supplies,Storage,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black"
East,Delaware,Dover,Technology,Accessories,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive
East,Delaware,Dover,Technology,Phones,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite"
Central,Indiana,New Albany,Office Supplies,Binders,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack"
Central,Indiana,New Albany,Office Supplies,Labels,Avery 485
Central,Indiana,New Albany,Furniture,Furnishings,Longer-Life Soft White Bulbs
Central,Indiana,New Albany,Furniture,Chairs,"Global Leather Task Chair, Black"
East,New York,New York City,Office Supplies,Fasteners,Advantus Push Pins
East,New York,New York City,Technology,Phones,AT&T CL83451 4-Handset Telephone
East,New York,Troy,Office Supplies,Storage,Home/Office Personal File Carts
East,New York,Troy,Office Supplies,Paper,Xerox 232
East,New York,Troy,Furniture,Chairs,Novimex Turbo Task Chair
East,New York,Troy,Office Supplies,Paper,"Array Parchment Paper, Assorted Colors"
East,New York,Troy,Technology,Accessories,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive
East,New York,Troy,Office Supplies,Binders,Plastic Binding Combs
East,New York,Troy,Office Supplies,Art,Prang Dustless Chalk Sticks
West,California,Los Angeles,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack"
West,California,Los Angeles,Office Supplies,Binders,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11"""
West,California,Los Angeles,Office Supplies,Paper,Xerox 1943
West,California,Los Angeles,Furniture,Furnishings,Luxo Economy Swing Arm Lamp
Central,Illinois,Chicago,Furniture,Chairs,"Global Value Mid-Back Manager's Chair, Gray"
West,Arizona,Gilbert,Office Supplies,Art,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige"
West,Arizona,Gilbert,Technology,Phones,netTALK DUO VoIP Telephone Service
South,Virginia,Springfield,Office Supplies,Paper,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate"
East,New York,New York City,Office Supplies,Binders,Avery Binding System Hidden Tab Executive Style Index Sets
Central,Michigan,Jackson,Office Supplies,Paper,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16"""
South,Tennessee,Memphis,Furniture,Chairs,High-Back Leather Manager's Chair
